id,Date,Ticker,Open,Close,High,Low,Volume
842,2025-08-22,GOOG,203.5,206.26,208.76,201.68,25723700
843,2025-08-25,GOOG,206.53,208.69,210.62,205.49,22788800
844,2025-08-26,GOOG,207.9,207.48,207.99,205.99,23051000
845,2025-08-27,GOOG,206.0,207.74,209.1,205.93,15249000
846,2025-08-28,GOOG,207.37,211.89,212.42,207.13,20915700
847,2025-08-29,GOOG,210.8,213.05,214.86,210.5,24682200
848,2025-09-02,GOOG,208.52,211.51,211.89,206.49,28900100
849,2025-09-03,GOOG,225.97,230.58,231.28,224.61,72250300
850,2025-09-04,GOOG,229.64,232.14,232.25,226.25,32196000
851,2025-09-05,GOOG,232.14,234.64,235.6,231.86,26127700
852,2025-09-08,GOOG,235.47,233.84,238.08,233.41,23128800
853,2025-09-09,GOOG,233.87,239.61,240.26,233.06,22854800
854,2025-09-10,GOOG,238.93,239.24,241.75,237.79,19990100
855,2025-09-11,GOOG,239.81,240.45,242.24,236.26,21308600
856,2025-09-12,GOOG,240.47,241.05,242.09,238.18,14536600
857,2025-09-15,GOOG,244.81,251.42,252.41,244.65,29935200
858,2025-09-16,GOOG,251.99,251.08,252.89,249.38,24493500
859,2025-09-17,GOOG,251.12,249.51,251.61,246.25,20491300
860,2025-09-18,GOOG,251.52,251.99,253.8,249.77,21166400
861,2025-09-19,GOOG,253.06,254.89,256.35,251.73,41616800
862,2025-09-22,GOOG,254.43,252.54,255.96,250.47,20079000
863,2025-09-23,GOOG,253.31,252.0,254.42,250.75,17521100
864,2025-09-24,GOOG,251.81,247.49,252.62,246.88,16958500
865,2025-09-25,GOOG,244.51,246.24,246.98,241.32,17379800
866,2025-09-26,GOOG,247.45,246.84,249.78,246.31,16594600
867,2025-09-29,GOOG,247.94,244.03,251.31,242.87,23157200
868,2025-09-30,GOOG,242.73,243.22,243.34,239.25,22541200
869,2025-10-01,GOOG,240.85,245.21,246.81,238.88,23967700
870,2025-10-02,GOOG,245.31,246.1,247.3,242.78,20657500
871,2025-10-03,GOOG,244.9,246.12,246.78,242.14,19941400
872,2025-10-06,GOOG,245.45,251.17,251.86,245.36,18309000
873,2025-10-07,GOOG,248.59,246.79,251.21,246.48,13811200
874,2025-10-08,GOOG,245.87,245.13,246.92,244.76,14136500
875,2025-10-09,GOOG,244.73,241.88,245.22,239.36,19375700
